event,candidate_a,candidate_b,candidate_c,chosen_file,author,url,license,sha256,status
UI.Error,error_002.ogg,error_001.ogg,error_004.ogg,EVT_UI_Error_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,76810EC365F41078FD0507101DA5BB7B8730FE011DDE43908329FDABD8575E79,INTEGRATED
UI.StartRace,open_004.ogg,open_002.ogg,maximize_004.ogg,EVT_UI_StartRace_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,4E02B8287BC4D9E7BF7A889CB9E48613C8EB22A310DFB0BF29C2BFD0A1E4BEA5,INTEGRATED
UI.ResultsOpen,maximize_007.ogg,maximize_006.ogg,open_003.ogg,EVT_UI_ResultsOpen_CHOSEN.ogg,Kenney,https://kenney.nl/assets/interface-sounds,CC0,3400931F3F3A1E9CF253EFEF9069BCDF053EDD2234E4EE9BF88977C389943484,INTEGRATED
Ambience.BeachWaves,wave_01_cc0-18363__jasinski__alkaibeach.flac,wave_02.flac,wave_03.flac,LOOP_Ambience_BeachWaves_NORMALIZED_CHOSEN.wav,jasinski/qubodup,https://opengameart.org/content/beach-ocean-waves,CC0,19E7B6D15A2DDA7117E2CC593E1B4B1F301DFB61836E191421672C5046A2C443,INTEGRATED
Ambience.BeachWind,Wind.ogg,Wind2.ogg,Wind3.ogg,LOOP_Ambience_BeachWind_NORMALIZED_CHOSEN.wav,IgnasD,https://opengameart.org/content/wind,CC0,436F0077D28AD88CFF7303F455686A2F98F40AB60A40C3175F392CCE9C0FF3D8,INTEGRATED
Ambience.DesertWind,Wind2.ogg,Wind.ogg,Wind3.ogg,LOOP_Ambience_DesertWind_NORMALIZED_CHOSEN.wav,IgnasD,https://opengameart.org/content/wind,CC0,B8FB7C4AF7F93662436322D82C926E862709FB55FE4509BC27B4D954963E10B3,INTEGRATED
Ambience.DesertSandGust,short wind sound.wav,Wind3.ogg,Wind2.ogg,LOOP_Ambience_DesertSandGust_NORMALIZED_CHOSEN.wav,remaxim,https://opengameart.org/content/short-wind-sound,CC0,87B9B232F7D985075D5308CEA2C92821C1462B888CA76A64145F161A9439584B,INTEGRATED
Music.Race,hot_roadway_bpm160.ogg,hot_roadway_climax_bpm175.ogg,Racing Game Menu,LOOP_Music_Race_CHOSEN.ogg,MintoDog,https://opengameart.org/content/hot-roadway,CC0,66D065B2C48D41F7BF86635A81296B99E5963075DCCF4906C83C573F53971A7C,INTEGRATED
Music.Menu,racing_game_menu_bpm165.ogg,Hot Roadway,Racing Game Result,LOOP_Music_Menu_CHOSEN.ogg,MintoDog,https://opengameart.org/content/racing-game-menu,CC0,0FC09EE09C3F9427ED409EDA778C012CDA6CEFD367BD1342C016EAC1126B6C59,INTEGRATED
Music.Result,racing_game_result_best_bpm140.ogg,result_good_bpm110.ogg,result_bad_bpm95.ogg,LOOP_Music_Result_CHOSEN.ogg,MintoDog,https://opengameart.org/content/racing-game-result,CC0,023EF44392B378153129262C0478278CFF8B569599ADDAD845465FFE19E22C62,INTEGRATED
Vehicle.EngineLow,loop_1.wav,loop_0.wav,loop_2.wav,LOOP_Vehicle_EngineLow_CHOSEN.wav,domasx2,https://opengameart.org/content/racing-car-engine-sound-loops,CC0,96D971D5AB21681E4B5AE22BFDC48A598F3CB008C871F6445754259525B6442F,INTEGRATED
Vehicle.EngineMid,loop_2.wav,loop_3.wav,loop_1.wav,LOOP_Vehicle_EngineMid_CHOSEN.wav,domasx2,https://opengameart.org/content/racing-car-engine-sound-loops,CC0,D21AD8A0C588B485ABD0EDA5724950483366A83CC3AF4A64AFB0CF4BD0BE0F9A,INTEGRATED
Vehicle.EngineHigh,loop_4.wav,loop_5.wav,loop_3.wav,LOOP_Vehicle_EngineHigh_CHOSEN.wav,domasx2,https://opengameart.org/content/racing-car-engine-sound-loops,CC0,A526C06F9CD1DB5B2D69695864316F48BEC9089AA2AC3817EBF400FCD1C18A27,INTEGRATED
Vehicle.EngineOffLoad,loop_5.wav,loop_4.wav,loop_3.wav,LOOP_Vehicle_EngineOffLoad_CHOSEN.wav,domasx2,https://opengameart.org/content/racing-car-engine-sound-loops,CC0,AEA1E875B464C50E7C431E779759D3E070396DD29B5D1221911FA6F7D3F422F9,INTEGRATED
Vehicle.GearShift,clank1.wav,lightclunk1.wav,lightclunk2.wav,EVT_Vehicle_GearShift_01_REAL_CHOSEN.wav,BMacZero,https://opengameart.org/content/mechanical-sounds,CC0,899A46A8423FA0CA349B3C70A07A422D1EAA3A58695CE6FACFBAE074DD70226F,INTEGRATED
Vehicle.GearShiftVariant,lightclunk1.wav,clank1.wav,mechanical1.wav,EVT_Vehicle_GearShift_02_REAL_CHOSEN.wav,BMacZero,https://opengameart.org/content/mechanical-sounds,CC0,D5A2AA8764C02924F6ED6FBAAD0C650AB2D57EC57A626CEE9E6645F941DBC8FA,INTEGRATED
Vehicle.AsphaltRoll,car1.wav,footstep_concrete_002.ogg,car2.wav,LOOP_Surface_AsphaltRoll_REAL_CHOSEN.wav,Yaroslav_Novikov,https://opengameart.org/content/car-1,CC0,85D1CA20F95244C558B57E2BE465C8EFCF2F7425BB54049E9EDDCBEC7F1739AF,INTEGRATED
Vehicle.AsphaltSkid,tires_squal_loop.wav,scratch_001.ogg,scratch_004.ogg,LOOP_Surface_AsphaltSkid_REAL_CHOSEN.wav,audible-edge/Tom Haigh,https://opengameart.org/content/car-tire-squeal-skid-loop,CC-BY-3.0,2B341CFA20987388FCCA9FD91D8BE5056CB6C6C54ABC2A97846C2BE5E5A4F604,INTEGRATED
Vehicle.SandRoll,sand_footsteps.mp3,Fantozzi-SandL2.ogg,Fantozzi-SandR2.ogg,LOOP_Surface_SandRoll_REAL_CHOSEN.mp3,Peludo,https://opengameart.org/content/water-splash-and-sand-footsteps,CC0,F61ED2653DF85F23485A4A4ECC57DFDD6F4BF77301FA7CC67FDD1C993A9979D6,INTEGRATED
Vehicle.SandSkid,Fantozzi-SandL1.ogg,Fantozzi-SandL2.ogg,Fantozzi-SandR1.ogg,LOOP_Surface_SandSkid_REAL_CHOSEN.ogg,Fantozzi/qubodup,https://lpc.opengameart.org/content/fantozzis-footsteps-grasssand-stone,CC0,FE6EC00CBE8790BE0F37540CB8DB8D245CA062337B121003685B6A96700CD0AE,INTEGRATED
Vehicle.GrassRoll,moving_leaves_stereo.ogg,full_steps_stereo.ogg,Fantozzi-SandL3.ogg,LOOP_Surface_GrassRoll_REAL_CHOSEN.ogg,Augmentality/HaelDB,https://opengameart.org/content/random-sounds-samples,CC0/OGA-BY-3.0,678C0DA00EF1092F4BE7C2D8C7B22C1C91C5FC8CA1F3F9570CE59DE995C0138C,INTEGRATED
Vehicle.GrassSkid,full_steps_stereo.ogg,moving_leaves_stereo.ogg,Fantozzi-SandR3.ogg,LOOP_Surface_GrassSkid_REAL_CHOSEN.ogg,Augmentality/HaelDB,https://opengameart.org/content/random-sounds-samples,CC0/OGA-BY-3.0,3641037E278E4D5F255DB668501863D872D6257B5976D69BE75A88D89FBD10B0,INTEGRATED
Vehicle.CollisionMedium,lightclunk2.wav,mechanical1.wav,impactMetal_heavy_002.ogg,EVT_Vehicle_CollisionMedium_01_REAL_CHOSEN.wav,BMacZero,https://opengameart.org/content/mechanical-sounds,CC0,987BE837A5941DED9A81572C319B9BF8F57D9F89741A5781FC7104ADC87D60F5,INTEGRATED
Vehicle.CollisionMediumVariant,mechanical1.wav,lightclunk2.wav,impactGeneric_light_002.ogg,EVT_Vehicle_CollisionMedium_02_REAL_CHOSEN.wav,BMacZero,https://opengameart.org/content/mechanical-sounds,CC0,DE520AD93FA9F4DF357B31A8FDEF7778D8DF994574C861F9337D5241FEE5DB33,INTEGRATED
Vehicle.Backfire,BACKFIRE.ogg,backfiring vehicle right-left.wav,Gun Shot.wav,EVT_Vehicle_Backfire_REAL_CHOSEN.mp3,CeebFrack,https://freesound.org/people/CeebFrack/sounds/105351/,CC0,403635259FCB22D32BCAB5061668D643D5B74E5C5FC2B99FC1DE21EA3EBC2DE8,INTEGRATED
